 -11	 -11		   4.94722051E-02	   6.77037144E-05		   4.94709659E-02	   6.77015606E-05
 -10	 -11		   4.94973077E-02	   6.69963444E-05		   4.94960752E-02	   6.69953093E-05
  -9	 -11		   4.95384925E-02	   6.73498023E-05		   4.95372666E-02	   6.73483422E-05
  -8	 -11		   4.95849675E-02	   6.70122262E-05		   4.95837429E-02	   6.70098188E-05
  -7	 -11		   4.96353693E-02	   6.74852859E-05		   4.96341415E-02	   6.74847335E-05
  -6	 -11		   4.96932529E-02	   6.69054669E-05		   4.96920124E-02	   6.69032701E-05
  -5	 -11		   4.97448707E-02	   6.85548556E-05		   4.97436237E-02	   6.85528243E-05
  -4	 -11		   4.98027130E-02	   6.83619907E-05		   4.98014758E-02	   6.83612941E-05
  -3	 -11		   4.98543080E-02	   6.80398206E-05		   4.98530743E-02	   6.80362778E-05
  -2	 -11		   4.98930389E-02	   6.74808327E-05		   4.98918012E-02	   6.74810334E-05
  -1	 -11		   4.99165688E-02	   6.67251856E-05		   4.99153181E-02	   6.67241687E-05
   0	 -11		   4.99313233E-02	   6.69322815E-05		   4.99300810E-02	   6.69313758E-05
   1	 -11		   4.99151846E-02	   6.66618061E-05		   4.99139377E-02	   6.66596290E-05
   2	 -11		   4.98964192E-02	   6.83439203E-05		   4.98951789E-02	   6.83420984E-05
   3	 -11		   4.98547685E-02	   6.89873033E-05		   4.98535310E-02	   6.89853212E-05
   4	 -11		   4.98047860E-02	   6.84356138E-05		   4.98035486E-02	   6.84347807E-05
   5	 -11		   4.97513700E-02	   6.75437094E-05		   4.97501323E-02	   6.75424935E-05
   6	 -11		   4.96875850E-02	   6.81942321E-05		   4.96863536E-02	   6.81934298E-05
   7	 -11		   4.96316434E-02	   6.87412850E-05		   4.96304120E-02	   6.87402775E-05
   8	 -11		   4.95756531E-02	   6.68025282E-05		   4.95744174E-02	   6.68022449E-05
   9	 -11		   4.95357480E-02	   6.61600585E-05		   4.95345140E-02	   6.61571063E-05
  10	 -11		   4.94997088E-02	   6.78468586E-05		   4.94984751E-02	   6.78440173E-05
  11	 -11		   4.94659933E-02	   6.79205107E-05		   4.94647533E-02	   6.79189200E-05
  12	 -11		   4.94670593E-02	   6.74026431E-05		   4.94658280E-02	   6.74019802E-05
 -11	 -10		   4.95026327E-02	   6.83272781E-05		   4.95014159E-02	   6.83258575E-05
 -10	 -10		   4.95213430E-02	   6.76664499E-05		   4.95201154E-02	   6.76642925E-05
  -9	 -10		   4.95588628E-02	   6.80902083E-05		   4.95576245E-02	   6.80890390E-05
  -8	 -10		   4.96177726E-02	   6.77603585E-05		   4.96165415E-02	   6.77580905E-05
  -7	 -10		   4.96742799E-02	   6.66970616E-05		   4.96730464E-02	   6.66957187E-05
  -6	 -10		   4.97371758E-02	   6.79539100E-05		   4.97359535E-02	   6.79506110E-05
  -5	 -10		   4.97995668E-02	   6.89938516E-05		   4.97983281E-02	   6.89911514E-05
  -4	 -10		   4.98688492E-02	   6.84252377E-05		   4.98676216E-02	   6.84223271E-05
  -3	 -10		   4.99218092E-02	   6.79389163E-05		   4.99205842E-02	   6.79365313E-05
  -2	 -10		   4.99706259E-02	   6.69052019E-05		   4.99693938E-02	   6.69031486E-05
  -1	 -10		   5.00041816E-02	   6.71386426E-05		   5.00029436E-02	   6.71358782E-05
   0	 -10		   5.00160429E-02	   6.81818584E-05		   5.00147885E-02	   6.81804166E-05
   1	 -10		   5.00075824E-02	   6.87566733E-05		   5.00063409E-02	   6.87519182E-05
   2	 -10		   4.99839215E-02	   6.86269983E-05		   4.99826861E-02	   6.86247209E-05
   3	 -10		   4.99322499E-02	   6.90993581E-05		   4.99309905E-02	   6.90999630E-05
   4	 -10		   4.98701878E-02	   6.82366183E-05		   4.98689445E-02	   6.82344675E-05
   5	 -10		   4.98055355E-02	   6.77316746E-05		   4.98043006E-02	   6.77310247E-05
   6	 -10		   4.97360270E-02	   6.88869677E-05		   4.97347909E-02	   6.88831459E-05
   7	 -10		   4.96707335E-02	   6.85499127E-05		   4.96695103E-02	   6.85471712E-05
   8	 -10		   4.96039597E-02	   6.61586914E-05		   4.96027321E-02	   6.61572744E-05
   9	 -10		   4.95549440E-02	   6.57294276E-05		   4.95537147E-02	   6.57276179E-05
  10	 -10		   4.95185136E-02	   6.59487991E-05		   4.95172846E-02	   6.59472701E-05
  11	 -10		   4.94879419E-02	   6.72943024E-05		   4.94867174E-02	   6.72945824E-05
  12	 -10		   4.94911662E-02	   6.77879373E-05		   4.94899349E-02	   6.77873993E-05
 -11	  -9		   4.95277331E-02	   6.76158403E-05		   4.95265049E-02	   6.76138327E-05
 -10	  -9		   4.95548298E-02	   6.73435456E-05		   4.95536011E-02	   6.73413712E-05
  -9	  -9		   4.96072836E-02	   6.72738633E-05		   4.96060554E-02	   6.72719873E-05
  -8	  -9		   4.96679149E-02	   6.79015684E-05		   4.96666905E-02	   6.78987161E-05
  -7	  -9		   4.97335855E-02	   6.71430864E-05		   4.97323588E-02	   6.71429445E-05
  -6	  -9		   4.98145323E-02	   6.84416834E-05		   4.98132933E-02	   6.84423621E-05
  -5	  -9		   4.98985619E-02	   6.84615055E-05		   4.98973179E-02	   6.84590198E-05
  -4	  -9		   4.99805352E-02	   6.90074386E-05		   4.99792866E-02	   6.90055364E-05
  -3	  -9		   5.00570465E-02	   6.82483150E-05		   5.00558012E-02	   6.82450564E-05
  -2	  -9		   5.01113365E-02	   6.74646281E-05		   5.01101004E-02	   6.74630680E-05
  -1	  -9		   5.01550809E-02	   6.77582576E-05		   5.01538319E-02	   6.77564145E-05
   0	  -9		   5.01666231E-02	   6.86974148E-05		   5.01653758E-02	   6.86942039E-05
   1	  -9		   5.01605009E-02	   6.98035957E-05		   5.01592529E-02	   6.98008411E-05
   2	  -9		   5.01221248E-02	   6.83586762E-05		   5.01208682E-02	   6.83585183E-05
   3	  -9		   5.00635409E-02	   6.87963859E-05		   5.00622970E-02	   6.87940964E-05
   4	  -9		   4.99847885E-02	   6.79777441E-05		   4.99835467E-02	   6.79761341E-05
   5	  -9		   4.99016956E-02	   6.79498665E-05		   4.99004583E-02	   6.79468664E-05
   6	  -9		   4.98166297E-02	   6.89825828E-05		   4.98154018E-02	   6.89825781E-05
   7	  -9		   4.97359270E-02	   6.71209103E-05		   4.97346989E-02	   6.71191564E-05
   8	  -9		   4.96573786E-02	   6.65476540E-05		   4.96561553E-02	   6.65467555E-05
   9	  -9		   4.96048659E-02	   6.74803848E-05		   4.96036394E-02	   6.74804404E-05
  10	  -9		   4.95535614E-02	   6.68159034E-05		   4.95523212E-02	   6.68140786E-05
  11	  -9		   4.95269454E-02	   6.74984456E-05		   4.95257062E-02	   6.74980918E-05
  12	  -9		   4.95236433E-02	   6.79369821E-05		   4.95224094E-02	   6.79340236E-05
 -11	  -8		   4.95779305E-02	   6.78870092E-05		   4.95766986E-02	   6.78859887E-05
 -10	  -8		   4.96057622E-02	   6.81724149E-05		   4.96045308E-02	   6.81711228E-05
  -9	  -8		   4.96666030E-02	   6.81055854E-05		   4.96653711E-02	   6.81038239E-05
  -8	  -8		   4.97384287E-02	   6.86292059E-05		   4.97371972E-02	   6.86276706E-05
  -7	  -8		   4.98182144E-02	   6.84434305E-05		   4.98169719E-02	   6.84418738E-05
  -6	  -8		   4.99257621E-02	   6.80873380E-05		   4.99245112E-02	   6.80861959E-05
  -5	  -8		   5.00363694E-02	   6.84902970E-05		   5.00351173E-02	   6.84874292E-05
  -4	  -8		   5.01523233E-02	   6.98237608E-05		   5.01510734E-02	   6.98230897E-05
