  -9	  -9		   3.36456368E-02	   1.25447816E-04		   3.36443772E-02	   1.25444443E-04
  -8	  -9		   3.37404410E-02	   1.27262866E-04		   3.37391822E-02	   1.27258056E-04
  -7	  -9		   3.37992598E-02	   1.24874019E-04		   3.37979999E-02	   1.24869105E-04
  -6	  -9		   3.39525551E-02	   1.24269570E-04		   3.39512870E-02	   1.24260922E-04
  -5	  -9		   3.40400402E-02	   1.20494110E-04		   3.40387804E-02	   1.20485140E-04
  -4	  -9		   3.42145218E-02	   1.20319622E-04		   3.42132324E-02	   1.20317194E-04
  -3	  -9		   3.43226734E-02	   1.21863545E-04		   3.43214138E-02	   1.21858240E-04
  -2	  -9		   3.44824900E-02	   1.25031079E-04		   3.44811955E-02	   1.25025165E-04
  -1	  -9		   3.45080878E-02	   1.26858329E-04		   3.45068172E-02	   1.26854029E-04
   0	  -9		   3.45741711E-02	   1.23630765E-04		   3.45728835E-02	   1.23626379E-04
   1	  -9		   3.45040052E-02	   1.25771300E-04		   3.45027178E-02	   1.25764886E-04
   2	  -9		   3.44638120E-02	   1.21606298E-04		   3.44625351E-02	   1.21601291E-04
   3	  -9		   3.43264574E-02	   1.21761804E-04		   3.43251992E-02	   1.21758576E-04
   4	  -9		   3.42192007E-02	   1.19926388E-04		   3.42179210E-02	   1.19924177E-04
   5	  -9		   3.40458822E-02	   1.23105147E-04		   3.40446130E-02	   1.23099246E-04
   6	  -9		   3.39254966E-02	   1.20719451E-04		   3.39242261E-02	   1.20717861E-04
   7	  -9		   3.37873849E-02	   1.21747386E-04		   3.37861153E-02	   1.21736914E-04
   8	  -9		   3.37244497E-02	   1.21702405E-04		   3.37232013E-02	   1.21700885E-04
   9	  -9		   3.36559533E-02	   1.25869997E-04		   3.36547060E-02	   1.25865183E-04
  10	  -9		   3.36578775E-02	   1.29711929E-04		   3.36566152E-02	   1.29709468E-04
  -9	  -8		   3.37321535E-02	   1.26019687E-04		   3.37309006E-02	   1.26017038E-04
  -8	  -8		   3.37646672E-02	   1.24866629E-04		   3.37633942E-02	   1.24861761E-04
  -7	  -8		   3.39213756E-02	   1.27929984E-04		   3.39201028E-02	   1.27924591E-04
  -6	  -8		   3.40157219E-02	   1.20405867E-04		   3.40144626E-02	   1.20399132E-04
  -5	  -8		   3.42141393E-02	   1.23673608E-04		   3.42128679E-02	   1.23670731E-04
  -4	  -8		   3.43270801E-02	   1.22052171E-04		   3.43258041E-02	   1.22046799E-04
  -3	  -8		   3.45644397E-02	   1.27356643E-04		   3.45631528E-02	   1.27347933E-04
  -2	  -8		   3.46617462E-02	   1.23985286E-04		   3.46604390E-02	   1.23977777E-04
